code,name,code1,code2,code3,code4
001,札幌市中央区,A1,B01,,
002,札幌市北区,A1,B01,,
003,札幌市東区,A1,B01,,
004,札幌市白石区,A1,B01,,
005,札幌市豊平区,A1,B01,,
006,札幌市南区,A1,B01,,
007,札幌市西区,A1,B01,,
008,石狩市,A1,B01,,
009,江別市,A1,B01,,
010,北広島市,A1,B01,,
011,函館市,A1,B01,,
012,宮城県,A1,B02,,ALL
013,中央区,A2,B03,1,都心
014,新宿区,A2,B03,1,
015,渋谷区,A2,B03,1,
016,千代田区,A2,B03,1,
017,港区,A2,B03,1,
018,文京区,A2,B03,1,
019,墨田区,A2,B03,2,23区東
020,江東区,A2,B03,2,
021,足立区,A2,B03,2,
022,葛飾区,A2,B03,2,
023,江戸川区,A2,B03,2,
024,台東区,A2,B03,2,
025,荒川区,A2,B03,2,
026,品川区,A2,B03,3,23区南
027,目黒区,A2,B03,3,
028,大田区,A2,B03,3,
029,世田谷区,A2,B03,3,
030,練馬区,A2,B03,4,23区西
031,中野区,A2,B03,4,
032,杉並区,A2,B03,4,
033,豊島区,A2,B03,4,23区北
034,北区,A2,B03,4,
035,板橋区,A2,B03,4,
036,八王子市,A2,B03,5,市部
037,立川市,A2,B03,5,
038,武蔵野市,A2,B03,5,
039,調布市,A2,B03,5,
040,町田市,A2,B03,5,
041,東村山市,A2,B03,5,
042,国立市,A2,B03,5,
043,多摩市,A2,B03,5,
044,西東京市,A2,B03,5,
045,三鷹市,A2,B03,5,
046,府中市,A2,B03,5,
047,昭島市,A2,B03,5,
048,小金井市,A2,B03,5,
049,小平市,A2,B03,5,
050,日野市,A2,B03,5,
051,国分寺市,A2,B03,5,
052,福生市,A2,B03,5,
053,狛江市,A2,B03,5,
054,清瀬市,A2,B03,5,
055,東久留米市,A2,B03,5,
056,武蔵村山市,A2,B03,5,
057,稲城市,A2,B03,5,
058,羽村市,A2,B03,5,
059,川崎市多摩区,A2,B04,1,川崎地区
060,川崎市麻生区,A2,B04,1,
061,川崎市川崎区,A2,B04,1,
062,川崎市幸区,A2,B04,1,
063,川崎市中原区,A2,B04,1,
064,川崎市高津区,A2,B04,1,
065,川崎市宮前区,A2,B04,1,
066,横浜市神奈川区,A2,B04,2,横浜北部
067,横浜市港北区,A2,B04,2,
068,横浜市緑区,A2,B04,2,
069,横浜市青葉区,A2,B04,2,
070,横浜市都筑区,A2,B04,2,
071,横浜市鶴見区,A2,B04,2,
072,横浜市中区,A2,B04,3,横浜中部
